date,listeners,streams,followers
2023-01-01,593,1245,1803
2023-01-02,624,1566,1805
2023-01-03,678,1562,1811
2023-01-04,609,1294,1814
2023-01-05,667,1327,1819
2023-01-06,627,1434,1830
2023-01-07,666,1642,1831
2023-01-08,639,1398,1838
2023-01-09,669,1576,1843
2023-01-10,821,2050,1851
2023-01-11,1051,2222,1860
2023-01-12,781,1477,1869
2023-01-13,750,1393,1877
2023-01-14,606,1068,1881
2023-01-15,626,1257,1885
2023-01-16,623,1261,1893
2023-01-17,742,1388,1895
2023-01-18,739,1286,1900
2023-01-19,707,1346,1906
2023-01-20,645,1470,1912
2023-01-21,603,1155,1918
2023-01-22,614,1337,1927
2023-01-23,612,1138,1930
2023-01-24,551,1256,1935
2023-01-25,590,1165,1939
2023-01-26,641,1353,1947
2023-01-27,602,1219,1961
2023-01-28,593,1208,1968
2023-01-29,611,1229,1970
2023-01-30,587,1200,1979
2023-01-31,652,1435,1987
2023-02-01,666,1323,1993
2023-02-02,647,1343,1996
2023-02-03,579,1147,2001
2023-02-04,521,1025,2008
2023-02-05,570,1226,2015
2023-02-06,583,1223,2015
2023-02-07,591,1096,2020
2023-02-08,547,1181,2026
2023-02-09,542,1117,2032
2023-02-10,568,1096,2035
2023-02-11,603,1210,2040
2023-02-12,663,1504,2045
2023-02-13,584,1249,2056
2023-02-14,623,1192,2065
2023-02-15,676,1508,2075
2023-02-16,595,1384,2080
2023-02-17,562,1258,2084
2023-02-18,562,1247,2092
2023-02-19,580,1244,2096
2023-02-20,580,1244,2100
2023-02-21,572,1237,2109
2023-02-22,608,1157,2111
2023-02-23,611,1304,2117
2023-02-24,540,1252,2122
2023-02-25,550,1011,2131
2023-02-26,488,921,2142
2023-02-27,528,967,2150
2023-02-28,542,1001,2152
2023-03-01,565,1162,2157
2023-03-02,616,1370,2166
2023-03-03,592,1186,2171
2023-03-04,581,1230,2179
2023-03-05,671,1468,2189
2023-03-06,702,1509,2196
2023-03-07,763,1625,2206
2023-03-08,786,1645,2212
2023-03-09,671,1427,2221
2023-03-10,684,1433,2225
2023-03-11,660,1378,2230
2023-03-12,660,1485,2239
2023-03-13,642,1411,2248
2023-03-14,653,1478,2254
2023-03-15,662,1409,2256
2023-03-16,680,1549,2264
2023-03-17,686,1442,2271
2023-03-18,621,1332,2276
2023-03-19,615,1319,2284
2023-03-20,677,1364,2294
2023-03-21,691,1504,2300
2023-03-22,695,1423,2309
2023-03-23,717,1411,2314
2023-03-24,690,1312,2329
2023-03-25,681,1434,2334
2023-03-26,754,1805,2340
2023-03-27,756,1629,2347
2023-03-28,744,1464,2354
2023-03-29,758,1689,2363
2023-03-30,680,1394,2370
2023-03-31,630,1280,2376
2023-04-01,655,1470,2382
2023-04-02,614,1518,2388
2023-04-03,667,1430,2397
2023-04-04,690,1526,2402
2023-04-05,638,1299,2407
2023-04-06,604,1273,2414
2023-04-07,600,1262,2417
2023-04-08,604,1338,2423
2023-04-09,564,1331,2434
2023-04-10,602,1269,2436
2023-04-11,652,1353,2442
2023-04-12,690,1382,2444
2023-04-13,691,1570,2452
2023-04-14,733,1672,2465
2023-04-15,725,1424,2471
2023-04-16,664,1526,2478
2023-04-17,759,1578,2481
2023-04-18,707,1545,2488
2023-04-19,696,1675,2496
2023-04-20,754,1877,2506
2023-04-21,710,1519,2515
2023-04-22,673,1572,2521
2023-04-23,617,1306,2522
2023-04-24,617,1345,2530
2023-04-25,653,1451,2543
2023-04-26,614,1369,2549
2023-04-27,670,1466,2551
2023-04-28,702,1528,2553
2023-04-29,707,1697,2558
2023-04-30,718,1544,2563
2023-05-01,729,1578,2567
2023-05-02,793,1762,2573
2023-05-03,767,1528,2578
2023-05-04,699,1409,2587
2023-05-05,761,1545,2592
2023-05-06,711,1521,2597
2023-05-07,656,1366,2597
2023-05-08,685,1432,2601
2023-05-09,621,1337,2601
2023-05-10,621,1429,2607
2023-05-11,655,1460,2611
2023-05-12,621,1296,2622
2023-05-13,617,1407,2628
2023-05-14,500,1157,2629
2023-05-15,549,1216,2633
2023-05-16,596,1485,2641
2023-05-17,536,1244,2645
2023-05-18,518,1071,2646
2023-05-19,517,1201,2647
2023-05-20,443,1137,2651
2023-05-21,482,1035,2651
2023-05-22,520,1059,2651
2023-05-23,630,1216,2657
2023-05-24,613,1212,2658
2023-05-25,615,1224,2657
2023-05-26,541,1094,2660
2023-05-27,470,1114,2663
2023-05-28,562,1233,2665
2023-05-29,535,1103,2668
2023-05-30,604,1265,2671
2023-05-31,534,1306,2679
2023-06-01,532,1405,2684
2023-06-02,493,1151,2686
2023-06-03,495,1174,2691
2023-06-04,475,1215,2696
2023-06-05,490,1337,2702
2023-06-06,481,1553,2707
2023-06-07,517,1405,2712
2023-06-08,520,1316,2715
2023-06-09,562,1245,2722
2023-06-10,487,1159,2730
2023-06-11,496,1052,2739
2023-06-12,543,1220,2742
2023-06-13,579,1250,2749
2023-06-14,543,1098,2760
2023-06-15,511,1043,2770
2023-06-16,510,1090,2775
2023-06-17,474,921,2789
2023-06-18,488,883,2791
2023-06-19,486,955,2793
2023-06-20,506,946,2795
2023-06-21,507,968,2800
2023-06-22,486,1045,2808
2023-06-23,468,1102,2813
2023-06-24,469,930,2822
2023-06-25,469,1293,2826
2023-06-26,462,962,2832
2023-06-27,467,885,2836
2023-06-28,603,994,2844
2023-06-29,600,1319,2854
2023-06-30,807,1502,2862
2023-07-01,520,1070,2866
2023-07-02,556,1185,2877
2023-07-03,531,1091,2882
2023-07-04,520,1185,2888
2023-07-05,557,1270,2890
2023-07-06,541,1186,2896
2023-07-07,507,943,2906
2023-07-08,597,1128,2913
2023-07-09,479,1035,2920
2023-07-10,581,1120,2928
2023-07-11,562,1143,2933
