date,listeners,streams,followers
1/1/2023,593,1245,1803
1/2/2023,624,1566,1805
1/3/2023,678,1562,1811
1/4/2023,609,1294,1814
1/5/2023,667,1327,1819
1/6/2023,627,1434,1830
1/7/2023,666,1642,1831
1/8/2023,639,1398,1838
1/9/2023,669,1576,1843
1/10/2023,821,2050,1851
1/11/2023,1051,2222,1860
1/12/2023,781,1477,1869
1/13/2023,750,1393,1877
1/14/2023,606,1068,1881
1/15/2023,626,1257,1885
1/16/2023,623,1261,1893
1/17/2023,742,1388,1895
1/18/2023,739,1286,1900
1/19/2023,707,1346,1906
1/20/2023,645,1470,1912
1/21/2023,603,1155,1918
1/22/2023,614,1337,1927
1/23/2023,612,1138,1930
1/24/2023,551,1256,1935
1/25/2023,590,1165,1939
1/26/2023,641,1353,1947
1/27/2023,602,1219,1961
1/28/2023,593,1208,1968
1/29/2023,611,1229,1970
1/30/2023,587,1200,1979
1/31/2023,652,1435,1987
2/1/2023,666,1323,1993
2/2/2023,647,1343,1996
2/3/2023,579,1147,2001
2/4/2023,521,1025,2008
2/5/2023,570,1226,2015
2/6/2023,583,1223,2015
2/7/2023,591,1096,2020
2/8/2023,547,1181,2026
2/9/2023,542,1117,2032
2/10/2023,568,1096,2035
2/11/2023,603,1210,2040
2/12/2023,663,1504,2045
2/13/2023,584,1249,2056
2/14/2023,623,1192,2065
2/15/2023,676,1508,2075
2/16/2023,595,1384,2080
2/17/2023,562,1258,2084
2/18/2023,562,1247,2092
2/19/2023,580,1244,2096
2/20/2023,580,1244,2100
2/21/2023,572,1237,2109
2/22/2023,608,1157,2111
2/23/2023,611,1304,2117
2/24/2023,540,1252,2122
2/25/2023,550,1011,2131
2/26/2023,488,921,2142
2/27/2023,528,967,2150
2/28/2023,542,1001,2152
3/1/2023,565,1162,2157
3/2/2023,616,1370,2166
3/3/2023,592,1186,2171
3/4/2023,581,1230,2179
3/5/2023,671,1468,2189
3/6/2023,702,1509,2196
3/7/2023,763,1625,2206
3/8/2023,786,1645,2212
3/9/2023,671,1427,2221
3/10/2023,684,1433,2225
3/11/2023,660,1378,2230
3/12/2023,660,1485,2239
3/13/2023,642,1411,2248
3/14/2023,653,1478,2254
3/15/2023,662,1409,2256
3/16/2023,680,1549,2264
3/17/2023,686,1442,2271
3/18/2023,621,1332,2276
3/19/2023,615,1319,2284
3/20/2023,677,1364,2294
3/21/2023,691,1504,2300
3/22/2023,695,1423,2309
3/23/2023,717,1411,2314
3/24/2023,690,1312,2329
3/25/2023,681,1434,2334
3/26/2023,754,1805,2340
3/27/2023,756,1629,2347
3/28/2023,744,1464,2354
3/29/2023,758,1689,2363
3/30/2023,680,1394,2370
3/31/2023,630,1280,2376
4/1/2023,655,1470,2382
4/2/2023,614,1518,2388
4/3/2023,667,1430,2397
4/4/2023,690,1526,2402
4/5/2023,638,1299,2407
4/6/2023,604,1273,2414
4/7/2023,600,1262,2417
4/8/2023,604,1338,2423
4/9/2023,564,1331,2434
4/10/2023,602,1269,2436
4/11/2023,652,1353,2442
4/12/2023,690,1382,2444
4/13/2023,691,1570,2452
4/14/2023,733,1672,2465
4/15/2023,725,1424,2471
4/16/2023,664,1526,2478
4/17/2023,759,1578,2481
4/18/2023,707,1545,2488
4/19/2023,696,1675,2496
4/20/2023,754,1877,2506
4/21/2023,710,1519,2515
4/22/2023,673,1572,2521
4/23/2023,617,1306,2522
4/24/2023,617,1345,2530
4/25/2023,653,1451,2543
4/26/2023,614,1369,2549
4/27/2023,670,1466,2551
4/28/2023,702,1528,2553
4/29/2023,707,1697,2558
4/30/2023,718,1544,2563
5/1/2023,729,1578,2567
5/2/2023,793,1762,2573
5/3/2023,767,1528,2578
5/4/2023,699,1409,2587
5/5/2023,761,1545,2592
5/6/2023,711,1521,2597
5/7/2023,656,1366,2597
5/8/2023,685,1432,2601
5/9/2023,621,1337,2601
5/10/2023,621,1429,2607
5/11/2023,655,1460,2611
5/12/2023,621,1296,2622
5/13/2023,617,1407,2628
5/14/2023,500,1157,2629
5/15/2023,549,1216,2633
5/16/2023,596,1485,2641
5/17/2023,536,1244,2645
5/18/2023,518,1071,2646
5/19/2023,517,1201,2647
5/20/2023,443,1137,2651
5/21/2023,482,1035,2651
5/22/2023,520,1059,2651
5/23/2023,630,1216,2657
5/24/2023,613,1212,2658
5/25/2023,615,1224,2657
5/26/2023,541,1094,2660
5/27/2023,470,1114,2663
5/28/2023,562,1233,2665
5/29/2023,535,1103,2668
5/30/2023,604,1265,2671
5/31/2023,534,1306,2679
6/1/2023,532,1405,2684
6/2/2023,493,1151,2686
6/3/2023,495,1174,2691
6/4/2023,475,1215,2696
6/5/2023,490,1337,2702
6/6/2023,481,1553,2707
6/7/2023,517,1405,2712
6/8/2023,520,1316,2715
6/9/2023,562,1245,2722
6/10/2023,487,1159,2730
6/11/2023,496,1052,2739
6/12/2023,543,1220,2742
6/13/2023,579,1250,2749
6/14/2023,543,1098,2760
6/15/2023,511,1043,2770
6/16/2023,510,1090,2775
6/17/2023,474,921,2789
6/18/2023,488,883,2791
6/19/2023,486,955,2793
6/20/2023,506,946,2795
6/21/2023,507,968,2800
6/22/2023,486,1045,2808
6/23/2023,468,1102,2813
6/24/2023,469,930,2822
6/25/2023,469,1293,2826
6/26/2023,462,962,2832
6/27/2023,467,885,2836
6/28/2023,603,994,2844
6/29/2023,600,1319,2854
6/30/2023,807,1502,2862
7/1/2023,520,1070,2866
7/2/2023,556,1185,2877
7/3/2023,531,1091,2882
7/4/2023,520,1185,2888
7/5/2023,557,1270,2890
7/6/2023,541,1186,2896
7/7/2023,507,943,2906
7/8/2023,597,1128,2913
7/9/2023,479,1035,2920
7/10/2023,581,1120,2928
7/11/2023,562,1143,2933
7/12/2023,621,1438,2948
7/13/2023,531,1116,2957
7/14/2023,468,1116,2964
7/15/2023,475,903,2968
7/16/2023,425,897,2973
7/17/2023,489,1133,2976
7/18/2023,476,1024,2976
7/19/2023,523,1091,2980
7/20/2023,468,874,2984
7/21/2023,469,1125,2994
7/22/2023,496,1086,2998
7/23/2023,480,967,3006
7/24/2023,529,1211,3009
7/25/2023,507,1114,3015
7/26/2023,554,1076,3022
7/27/2023,515,1203,3032
7/28/2023,556,1333,3040
7/29/2023,543,1252,3048
7/30/2023,523,1320,3053
7/31/2023,503,1010,3055
8/1/2023,497,1153,3060
8/2/2023,511,1008,3063
8/3/2023,536,1023,3071
8/4/2023,583,1384,3072
8/5/2023,523,1178,3072
8/6/2023,555,1461,3077
8/7/2023,540,1255,3081
8/8/2023,555,1024,3087
8/9/2023,527,1066,3088
8/10/2023,511,1271,3095
8/11/2023,547,1143,3093
8/12/2023,593,1186,3097
8/13/2023,588,1156,3101
8/14/2023,542,1209,3104
8/15/2023,546,1210,3110
8/16/2023,510,1069,3111
8/17/2023,531,1080,3110
8/18/2023,573,1325,3114
8/19/2023,612,1312,3118
8/20/2023,526,1087,3120
8/21/2023,598,1433,3124
8/22/2023,666,1328,3130
8/23/2023,735,1734,3133
8/24/2023,792,1851,3140
8/25/2023,681,1437,3144
8/26/2023,696,1710,3148
8/27/2023,737,1644,3151
8/28/2023,828,2006,3154
8/29/2023,745,1757,3157
8/30/2023,840,1797,3160
8/31/2023,757,1637,3163
9/1/2023,721,1630,3170
9/2/2023,733,1705,3172
9/3/2023,789,1796,3174
9/4/2023,813,1809,3175
9/5/2023,718,1703,3178
9/6/2023,709,1495,3182
9/7/2023,696,1332,3182
9/8/2023,784,1678,3186
9/9/2023,848,1956,3187
9/10/2023,841,1842,3193
9/11/2023,820,1796,3197
9/12/2023,852,1772,3202
9/13/2023,866,2178,3205
9/14/2023,865,1894,3207
9/15/2023,1120,2473,3204
9/16/2023,1026,2120,3208
9/17/2023,1027,2220,3213
9/18/2023,1001,2094,3216
9/19/2023,1046,2269,3223
9/20/2023,951,1959,3220
9/21/2023,902,1916,3222
9/22/2023,1324,2633,3229
9/23/2023,1024,2104,3234
9/24/2023,981,1988,3239
9/25/2023,1048,2009,3240
9/26/2023,971,1923,3242
9/27/2023,973,1843,3250
9/28/2023,1093,2149,3253
9/29/2023,1240,2554,3256
9/30/2023,1122,2556,3260
10/1/2023,1135,2577,3259
10/2/2023,1463,3143,3267
10/3/2023,1338,3179,3275
10/4/2023,1228,3102,3278
10/5/2023,1186,2739,3280
10/6/2023,1143,2628,3284
10/7/2023,1068,2450,3289
10/8/2023,1046,2408,3286
10/9/2023,1001,2320,3292
10/10/2023,946,2423,3297
10/11/2023,927,1879,3300
10/12/2023,961,2129,3309
10/13/2023,975,2361,3313
10/14/2023,986,2312,3320
10/15/2023,1009,2595,3323
10/16/2023,972,2480,3323
10/17/2023,1020,2775,3325
10/18/2023,992,2442,3330
10/19/2023,1006,2223,3335
10/20/2023,945,2438,3339
10/21/2023,881,1956,3343
10/22/2023,919,2182,3345
10/23/2023,836,2324,3345
10/24/2023,845,1785,3347
10/25/2023,900,2012,3349
10/26/2023,911,2158,3348
10/27/2023,1202,2670,3352
10/28/2023,1347,2646,3368
10/29/2023,1116,2332,3370
10/30/2023,1143,2427,3370
10/31/2023,1092,2198,3369
11/1/2023,1090,2530,3372
11/2/2023,1112,2289,3376
11/3/2023,1082,2182,3378
11/4/2023,959,2341,3386
11/5/2023,981,1935,3386
11/6/2023,981,1972,3388
11/7/2023,959,2094,3387
11/8/2023,1035,2330,3389
11/9/2023,1065,2552,3392
11/10/2023,1069,2213,3396
11/11/2023,1121,2387,3398
11/12/2023,1219,2783,3401
11/13/2023,1189,2515,3406
11/14/2023,1188,2617,3413
11/15/2023,1155,2349,3415
11/16/2023,1159,2387,3419
11/17/2023,1132,2457,3425
11/18/2023,1078,2293,3428
11/19/2023,1119,2422,3431
11/20/2023,1204,2584,3430
11/21/2023,1304,2735,3433
11/22/2023,1199,3014,3433
11/23/2023,1121,2534,3435
11/24/2023,1131,3142,3442
11/25/2023,1162,3020,3448
11/26/2023,1110,2384,3449
11/27/2023,1193,2447,3449
11/28/2023,1184,2824,3448
11/29/2023,1221,2663,3448
11/30/2023,1245,2554,3451
12/1/2023,1278,2484,3453
12/2/2023,1248,2805,3454
12/3/2023,1250,2769,3462
12/4/2023,1233,2836,3464
12/5/2023,1205,2568,3464
12/6/2023,1245,2682,3467
12/7/2023,1215,2706,3468
12/8/2023,1224,2692,3476
12/9/2023,1258,3047,3483
12/10/2023,1255,2987,3488
12/11/2023,1341,3028,3493
